ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416277442.51913,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,258960,204581,204505,21141,536769
1416277442.51913,pg_catalog,pg_type,pg_type_typname_nsp_index,19047,14729,13620,10179,42898
1416277442.51913,pg_catalog,pg_type,pg_type_oid_index,913105,911075,911075,20370,1831922
1416277442.51913,pg_toast,pg_toast_2619,pg_toast_2619_index,43169,140316,140316,2042,80311
1416277442.51913,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_2618,pg_toast_2618_index,13434,43624,43624,3887,16337
1416277442.51913,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416277442.51913,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_authid,pg_authid_oid_index,44250,44250,44250,13099,75401
1416277442.51913,pg_catalog,pg_authid,pg_authid_rolname_index,43956,43956,43956,12879,75033
1416277442.51913,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,63436,286479,286479,29376,157843
1416277442.51913,pg_catalog,pg_proc,pg_proc_oid_index,408725,408725,408725,41585,818311
1416277442.51913,pg_catalog,pg_class,pg_class_relname_nsp_index,138113,82444,81283,26468,300806
1416277442.51913,pg_catalog,pg_class,pg_class_oid_index,1493894,1491947,1491947,34359,2984847
1416277442.51913,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,1100614,2182299,2182042,42882,2223601
1416277442.51913,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,1255,1255,1255,1912,18126
1416277442.51913,pg_catalog,pg_constraint,pg_constraint_oid_index,384,192,192,52,911
1416277442.51913,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,48,339
1416277442.51913,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,48,339
1416277442.51913,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,48,339
1416277442.51913,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,1018,0,0,500,518
1416277442.51913,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,116061,1065717,1065717,26043,236676
1416277442.51913,pg_catalog,pg_operator,pg_operator_oid_index,164230,164230,164230,20355,343896
1416277442.51913,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_opclass,pg_opclass_oid_index,168841,168841,168841,16509,199401
1416277442.51913,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,58118,2288242,2288242,9666,69747
1416277442.51913,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_amop,pg_amop_opr_fam_index,145545,290811,290811,19751,303394
1416277442.51913,pg_catalog,pg_amop,pg_amop_fam_strat_index,216046,216046,216046,15661,441896
1416277442.51913,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,175351,260775,260775,26644,371127
1416277442.51913,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,18898,18898,18898,9388,24256
1416277442.51913,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,24963,24442,23921,4383,38390
1416277442.51913,pg_catalog,pg_rewrite,pg_rewrite_oid_index,1563,1042,1042,776,1841
1416277442.51913,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_description,pg_description_o_c_o_index,4661,0,0,1682,8658
1416277442.51913,pg_catalog,pg_database,pg_database_oid_index,107486,107485,107485,19468,138311
1416277442.51913,pg_catalog,pg_database,pg_database_datname_index,94206,94205,94205,17330,127075
1416277442.51913,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_namespace,pg_namespace_oid_index,421295,421257,421257,5627,422140
1416277442.51913,pg_catalog,pg_namespace,pg_namespace_nspname_index,124581,80764,80764,12251,156147
1416277442.51913,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1416277442.51913,pg_catalog,pg_depend,pg_depend_reference_index,33281,36901,30661,8401,76445
1416277442.51913,pg_catalog,pg_depend,pg_depend_depender_index,9797,15732,15732,5098,32891
