# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416277499;-1;24.10;0.00;8.55;0.84;0.00;66.52
axle;60;1416277499;0;49.27;0.00;10.17;0.63;0.00;39.93
axle;60;1416277499;1;21.75;0.00;10.51;8.62;0.00;59.12
axle;60;1416277499;2;22.38;0.00;9.89;0.07;0.00;67.66
axle;60;1416277499;3;11.70;0.00;9.81;0.37;0.00;78.13
axle;60;1416277499;4;24.86;0.00;7.53;0.00;0.00;67.61
axle;60;1416277499;5;23.83;0.00;4.43;0.00;0.00;71.74
axle;60;1416277499;6;13.75;0.00;5.48;0.00;0.00;80.77
axle;60;1416277499;7;15.95;0.00;5.87;0.00;0.00;78.18
axle;60;1416277499;8;23.36;0.00;15.05;0.57;0.00;61.02
axle;60;1416277499;9;15.93;0.00;13.20;0.02;0.00;70.86
axle;60;1416277499;10;18.48;0.00;6.65;0.07;0.00;74.80
axle;60;1416277499;11;39.43;0.00;11.59;0.00;0.00;48.98
axle;60;1416277499;12;14.75;0.00;5.89;0.35;0.00;79.01
axle;60;1416277499;13;12.60;0.00;6.02;0.47;0.00;80.91
axle;60;1416277499;14;43.02;0.00;7.25;1.42;0.00;48.31
axle;60;1416277499;15;34.26;0.00;7.49;0.75;0.00;57.49
axle;60;1416277559;-1;13.26;0.00;6.51;0.00;0.00;80.22
axle;60;1416277559;0;13.63;0.00;9.20;0.00;0.00;77.18
axle;60;1416277559;1;26.99;0.00;8.22;0.00;0.00;64.78
axle;60;1416277559;2;19.71;0.00;6.04;0.00;0.00;74.25
axle;60;1416277559;3;15.08;0.00;5.95;0.00;0.00;78.97
axle;60;1416277559;4;37.82;0.00;3.01;0.00;0.00;59.17
axle;60;1416277559;5;18.93;0.00;4.55;0.00;0.00;76.52
axle;60;1416277559;6;0.92;0.00;1.70;0.00;0.00;97.38
axle;60;1416277559;7;0.47;0.00;1.55;0.00;0.00;97.98
axle;60;1416277559;8;11.65;0.00;17.16;0.00;0.00;71.19
axle;60;1416277559;9;27.94;0.00;14.77;0.00;0.00;57.29
axle;60;1416277559;10;4.69;0.00;6.71;0.00;0.00;88.60
axle;60;1416277559;11;18.65;0.00;8.52;0.03;0.00;72.80
axle;60;1416277559;12;3.30;0.00;3.55;0.02;0.00;93.13
axle;60;1416277559;13;2.28;0.00;4.07;0.00;0.00;93.66
axle;60;1416277559;14;4.15;0.00;5.35;0.02;0.00;90.48
axle;60;1416277559;15;6.15;0.00;3.89;0.02;0.00;89.94
axle;60;1416277619;-1;7.27;0.00;6.32;0.00;0.00;86.41
axle;60;1416277619;0;10.56;0.00;7.51;0.00;0.00;81.93
axle;60;1416277619;1;25.78;0.00;5.68;0.00;0.00;68.54
axle;60;1416277619;2;1.05;0.00;2.15;0.00;0.00;96.80
axle;60;1416277619;3;0.48;0.00;3.47;0.00;0.00;96.04
axle;60;1416277619;4;0.13;0.00;0.23;0.00;0.00;99.63
axle;60;1416277619;5;0.12;0.00;0.22;0.00;0.00;99.67
axle;60;1416277619;6;14.55;0.00;1.82;0.02;0.00;83.61
axle;60;1416277619;7;41.15;0.00;3.86;0.00;0.00;54.99
axle;60;1416277619;8;5.54;0.00;32.35;0.00;0.00;62.11
axle;60;1416277619;9;11.12;0.00;19.35;0.02;0.00;69.51
axle;60;1416277619;10;0.94;0.00;2.23;0.00;0.00;96.83
axle;60;1416277619;11;0.75;0.00;3.95;0.00;0.00;95.30
axle;60;1416277619;12;1.10;0.00;3.31;0.00;0.00;95.58
axle;60;1416277619;13;0.84;0.00;4.49;0.00;0.00;94.67
axle;60;1416277619;14;1.17;0.00;4.66;0.02;0.00;94.15
axle;60;1416277619;15;0.94;0.00;5.72;0.02;0.00;93.32
axle;60;1416277679;-1;7.31;0.00;5.95;0.00;0.00;86.73
axle;60;1416277679;0;4.80;0.00;24.13;0.00;0.00;71.07
axle;60;1416277679;1;8.97;0.00;14.41;0.00;0.00;76.62
axle;60;1416277679;2;0.69;0.00;2.30;0.00;0.00;97.02
axle;60;1416277679;3;0.83;0.00;4.24;0.00;0.00;94.93
axle;60;1416277679;4;14.02;0.00;2.32;0.00;0.00;83.66
axle;60;1416277679;5;6.61;0.00;2.93;0.00;0.00;90.47
axle;60;1416277679;6;3.23;0.00;2.36;0.00;0.00;94.42
axle;60;1416277679;7;4.87;0.00;3.36;0.00;0.00;91.77
axle;60;1416277679;8;20.71;0.00;10.80;0.00;0.00;68.49
axle;60;1416277679;9;48.47;0.00;9.16;0.00;0.00;42.37
axle;60;1416277679;10;1.29;0.00;2.51;0.00;0.00;96.20
axle;60;1416277679;11;0.81;0.00;8.09;0.00;0.00;91.10
axle;60;1416277679;12;0.62;0.00;2.17;0.00;0.00;97.21
axle;60;1416277679;13;0.62;0.00;2.56;0.00;0.00;96.83
axle;60;1416277679;14;0.33;0.00;1.61;0.00;0.00;98.06
axle;60;1416277679;15;0.22;0.00;2.11;0.05;0.00;97.63
axle;60;1416277739;-1;7.62;0.00;5.83;0.00;0.00;86.55
axle;60;1416277739;0;1.62;0.00;7.33;0.00;0.00;91.04
axle;60;1416277739;1;1.95;0.00;3.02;0.00;0.00;95.03
axle;60;1416277739;2;0.17;0.00;0.83;0.00;0.00;99.00
axle;60;1416277739;3;0.23;0.00;1.00;0.00;0.00;98.77
axle;60;1416277739;4;48.85;0.00;4.28;0.00;0.00;46.87
axle;60;1416277739;5;41.08;0.00;3.62;0.00;0.00;55.30
axle;60;1416277739;6;0.10;0.00;0.73;0.00;0.00;99.16
axle;60;1416277739;7;0.10;0.00;0.79;0.00;0.00;99.11
axle;60;1416277739;8;5.27;0.00;21.29;0.00;0.00;73.44
axle;60;1416277739;9;10.57;0.00;16.72;0.00;0.00;72.71
axle;60;1416277739;10;2.12;0.00;4.50;0.00;0.00;93.38
axle;60;1416277739;11;2.41;0.00;7.39;0.00;0.00;90.20
axle;60;1416277739;12;2.24;0.00;5.29;0.00;0.00;92.46
axle;60;1416277739;13;1.99;0.00;6.99;0.00;0.00;91.02
axle;60;1416277739;14;1.75;0.00;4.11;0.02;0.00;94.12
axle;60;1416277739;15;1.19;0.00;5.43;0.05;0.00;93.33
axle;60;1416277799;-1;9.72;0.00;3.72;0.01;0.00;86.56
axle;60;1416277799;0;33.58;0.00;8.42;0.00;0.00;58.00
axle;60;1416277799;1;25.77;0.00;6.75;0.02;0.00;67.46
axle;60;1416277799;2;4.33;0.00;3.06;0.02;0.00;92.59
axle;60;1416277799;3;3.17;0.00;3.80;0.00;0.00;93.03
axle;60;1416277799;4;4.03;0.00;0.55;0.00;0.00;95.42
axle;60;1416277799;5;10.45;0.00;1.12;0.00;0.00;88.43
axle;60;1416277799;6;0.03;0.00;0.45;0.00;0.00;99.52
axle;60;1416277799;7;0.08;0.00;0.55;0.00;0.00;99.37
axle;60;1416277799;8;36.42;0.00;10.33;0.00;0.00;53.25
axle;60;1416277799;9;32.50;0.00;9.74;0.00;0.00;57.76
axle;60;1416277799;10;1.61;0.00;3.63;0.00;0.00;94.77
axle;60;1416277799;11;1.25;0.00;4.65;0.00;0.00;94.09
axle;60;1416277799;12;0.63;0.00;1.19;0.00;0.00;98.18
axle;60;1416277799;13;0.65;0.00;1.62;0.00;0.00;97.73
axle;60;1416277799;14;0.80;0.00;1.87;0.03;0.00;97.30
axle;60;1416277799;15;0.77;0.00;1.89;0.03;0.00;97.31
axle;60;1416277859;-1;6.49;0.00;1.61;0.00;0.00;91.90
axle;60;1416277859;0;10.08;0.00;2.14;0.02;0.00;87.77
axle;60;1416277859;1;12.74;0.00;2.42;0.00;0.00;84.84
axle;60;1416277859;2;0.03;0.00;0.32;0.00;0.00;99.65
axle;60;1416277859;3;0.08;0.00;0.40;0.00;0.00;99.52
axle;60;1416277859;4;0.15;0.00;0.28;0.00;0.00;99.57
axle;60;1416277859;5;0.07;0.00;0.22;0.00;0.00;99.72
axle;60;1416277859;6;0.02;0.00;0.18;0.00;0.00;99.80
axle;60;1416277859;7;0.07;0.00;0.15;0.00;0.00;99.78
axle;60;1416277859;8;16.57;0.00;2.37;0.00;0.00;81.05
axle;60;1416277859;9;12.42;0.00;3.04;0.00;0.00;84.53
axle;60;1416277859;10;0.03;0.00;0.43;0.00;0.00;99.53
axle;60;1416277859;11;51.37;0.00;13.71;0.00;0.00;34.92
axle;60;1416277859;12;0.03;0.00;0.05;0.00;0.00;99.92
axle;60;1416277859;13;0.05;0.00;0.02;0.00;0.00;99.93
axle;60;1416277859;14;0.07;0.00;0.00;0.00;0.00;99.93
axle;60;1416277859;15;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1416277919;-1;5.91;0.00;0.45;0.00;0.00;93.63
axle;60;1416277919;0;0.37;0.00;0.13;0.02;0.00;99.48
axle;60;1416277919;1;0.83;0.00;0.27;0.00;0.00;98.90
axle;60;1416277919;2;0.05;0.00;0.33;0.00;0.00;99.62
axle;60;1416277919;3;0.07;0.00;0.33;0.00;0.00;99.60
