# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416278213;20997536;243526888;92.06;471320;39665536;208116652;76.26
axle;61;1416278273;18934816;245589608;92.84;471380;42001716;207648448;76.09
axle;60;1416278333;13982992;250541432;94.71;471464;45546264;209068688;76.61
axle;60;1416278393;13995400;250529024;94.71;471524;45728804;208858296;76.53
axle;60;1416278453;15103216;249421208;94.29;471568;45750744;207736816;76.12
axle;60;1416278513;14567780;249956644;94.49;471640;45752076;208268552;76.31
axle;60;1416278573;14802068;249722356;94.40;471704;46272788;207533780;76.04
axle;60;1416278633;13770048;250754376;94.79;471744;47315380;207505644;76.03
axle;60;1416278693;11794828;252729596;95.54;471776;48715604;208099972;76.25
axle;60;1416278753;11262608;253261816;95.74;471848;49527380;207812608;76.15
axle;60;1416278813;11103900;253420524;95.80;471884;49982448;207505760;76.03
